num_client,sum(montant_total_paye)
ID_102544,182.5
ID_102776,394.88
ID_101800,16.7
ID_102464,297.99
ID_102907,120.21
ID_103086,425.6
ID_101520,54.099999999999994
ID_102891,276.39
ID_103884,166.16
ID_103930,154.99
ID_101053,26.5
ID_103421,17.3
ID_102459,285.69
ID_102605,16.99
ID_103393,49.8
ID_102619,35.0
ID_102018,81.5
ID_103641,36.3
ID_104163,1241.98
ID_103965,166.3
ID_102538,485.49
ID_100580,184.76999999999998
ID_100497,249.49
ID_100338,227.29000000000002
ID_102667,245.89999999999998
ID_103298,131.98
ID_103230,108.03
ID_103843,60.25
ID_103446,138.93
ID_104308,178.18
ID_104321,58.99
ID_100414,230.98000000000002
ID_104100,47.25
ID_104339,314.6
ID_102825,522.53
ID_100415,155.8
ID_103666,10.94
